product,quantity,price,expiry date
Rice,100,25,12-10-2025
Pasta,50,20,15-07-2025
Milk,200,30,03-10-2025
Cheese,150,30,08-06-2025
Bread,30,20,20-07-2025
Eggs,120,4,13-06-2025
Chicken,50,120,01-07-2025
Beef,30,200,15-07-2025
Salmon,20,150,05-07-2025
Apples,100,20,01-06-2025
Bananas,150,22,18-06-2025
Oranges,120,20,22-06-2025
Potatoes,200,30,20-08-2025
Carrots,150,29,12-07-2025
Onions,100,40,15-07-2025
Tomatoes,120,40,18-07-2025
Lettuce,50,35,25-06-2025
Cucumber,60,45,02-07-2025
Yogurt,80,22,15-06-2025
Butter,40,28,04-06-2025
