Product,Quantity,Price,Expiry Date
Rice,100,25.00,30-12-2024
Pasta,50,15.50,15-01-2025
Milk,200,3.00,20-12-2024
Cheese,30,8.00,10-02-2025
Bread,150,2.50,25-12-2024
Eggs,120,4.00,05-01-2025
Chicken,50,12.00,01-01-2025
Beef,30,15.00,15-01-2025
Salmon,20,20.00,10-01-2025
Apples,100,1.00,03-01-2025
Bananas,150,0.75,02-01-2025
Oranges,120,1.20,04-01-2025
Potatoes,200,0.50,28-12-2024
Carrots,150,0.60,29-12-2024
Onions,100,0.40,27-12-2024
Tomatoes,120,0.80,31-12-2024
Lettuce,50,1.50,06-01-2025
Cucumbers,60,1.00,07-01-2025
Yogurt,80,2.00,12-01-2025
Butter,40,4.00,18-01-2025
